t,asks[0].price,asks[0].amount,asks[1].price,asks[1].amount,asks[2].price,asks[2].amount,asks[3].price,asks[3].amount,asks[4].price,asks[4].amount,asks[5].price,asks[5].amount,asks[6].price,asks[6].amount,asks[7].price,asks[7].amount,asks[8].price,asks[8].amount,asks[9].price,asks[9].amount,bids[0].price,bids[0].amount,bids[1].price,bids[1].amount,bids[2].price,bids[2].amount,bids[3].price,bids[3].amount,bids[4].price,bids[4].amount,bids[5].price,bids[5].amount,bids[6].price,bids[6].amount,bids[7].price,bids[7].amount,bids[8].price,bids[8].amount,bids[9].price,bids[9].amount
1569888001272,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8880,8307.5,11010,8308,65760,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001289,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8880,8307.5,11010,8308,2000,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001366,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,11010,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001369,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,21560,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001446,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,10980,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001448,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20310,8308,2000,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001528,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,10980,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001530,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8880,8307.5,1650,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,209900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001577,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8880,8307.5,1650,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888001610,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,21560,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5090,8300,38610,8299.5,60
1569888002064,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,21560,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,60
1569888002073,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,21560,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888002291,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,10980,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888002294,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,20310,8308,2000,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888002363,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,10980,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888002377,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,8880,8307.5,1650,8308,11780,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888002454,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,200,8307.5,1650,8308,21560,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888002537,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,21560,8308.5,120000,8309,18000,8309.5,8340,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003151,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,21560,8309,18000,8309.5,8340,8310,38000,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003183,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,1650,8308,21560,8309,18000,8309.5,128340,8310,38000,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003271,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,10980,8308,11780,8309,18000,8309.5,128340,8310,38000,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003274,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,20310,8308,2000,8309,18000,8309.5,128340,8310,38000,8304,210900,8303.5,52200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
1569888003303,8304.5,10270,8305,60,8305.5,1220,8306,80,8307,220,8307.5,20310,8308,2000,8309,18000,8309.5,128340,8310,38000,8304,210900,8303.5,2200,8303,20600,8302.5,4500,8302,2000,8301.5,18200,8301,18000,8300.5,5100,8300,38600,8299.5,70
